"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","158","11 - CG 150 TITAN-KS/ TITAN-JOB","","Sat May 02 23:17:28 UTC 2026","failed","Sat May 02 23:17:28 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","163","03 - CG 160 FAN ESDi FLEXONE","","Sat May 02 23:17:27 UTC 2026","failed","Sat May 02 23:17:27 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
"","163","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Sat May 02 23:17:27 UTC 2026","failed","Sat May 02 23:17:27 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","224","06 - CG 150 TITAN-ES","","Sat May 02 23:17:27 UTC 2026","failed","Sat May 02 23:17:28 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
"","159","07 - CG 150 TITAN-ES MIX","","Sat May 02 23:17:28 UTC 2026","failed","Sat May 02 23:17:28 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
"","166","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Sat May 02 23:17:28 UTC 2026","failed","Sat May 02 23:17:28 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","2416","01 - CG 160 FAN Flex","","Sat May 02 23:17:24 UTC 2026","failed","Sat May 02 23:17:27 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","152","10 - CG 150 TITAN-EX MIX/FLEX","","Sat May 02 23:17:28 UTC 2026","failed","Sat May 02 23:17:28 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","152","08 - CG 150 TITAN-ESD MIX/FLEX","","Sat May 02 23:17:28 UTC 2026","failed","Sat May 02 23:17:28 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","198","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Sat May 02 23:17:27 UTC 2026","failed","Sat May 02 23:17:27 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
"","166","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Sat May 02 23:17:27 UTC 2026","failed","Sat May 02 23:17:27 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
"","145","12 - CG 160 START","","Sat May 02 23:17:28 UTC 2026","failed","Sat May 02 23:17:29 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
