"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","231","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Sun Mar 01 20:41:09 UTC 2026","passed","Sun Mar 01 20:41:09 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
"","190","03 - CG 160 FAN ESDi FLEXONE","","Sun Mar 01 20:41:09 UTC 2026","passed","Sun Mar 01 20:41:09 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
"","1307","10 - CG 150 TITAN-EX MIX/FLEX","","Sun Mar 01 20:41:15 UTC 2026","passed","Sun Mar 01 20:41:17 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","173","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Sun Mar 01 20:41:09 UTC 2026","passed","Sun Mar 01 20:41:09 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
"","955","06 - CG 150 TITAN-ES","","Sun Mar 01 20:41:09 UTC 2026","passed","Sun Mar 01 20:41:10 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
"","791","07 - CG 150 TITAN-ES MIX","","Sun Mar 01 20:41:10 UTC 2026","passed","Sun Mar 01 20:41:11 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
"","5482","01 - CG 160 FAN Flex","","Sun Mar 01 20:41:02 UTC 2026","passed","Sun Mar 01 20:41:08 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","303","12 - CG 160 START","","Sun Mar 01 20:41:17 UTC 2026","passed","Sun Mar 01 20:41:17 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
"","310","11 - CG 150 TITAN-KS/ TITAN-JOB","","Sun Mar 01 20:41:17 UTC 2026","failed","Sun Mar 01 20:41:17 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","502","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Sun Mar 01 20:41:08 UTC 2026","passed","Sun Mar 01 20:41:09 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","2283","08 - CG 150 TITAN-ESD MIX/FLEX","","Sun Mar 01 20:41:11 UTC 2026","passed","Sun Mar 01 20:41:13 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","1986","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Sun Mar 01 20:41:13 UTC 2026","passed","Sun Mar 01 20:41:15 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
